DISPOSITIF,PORTEUR,EP_PORTEUR,ISOLANT,EP_ISOLANT,REVETEMENT_INT,EP_RI,REVETEMENT_EXT,EP_RE
BA_M_P2_TN_IND_TOL,OSSATURE METALLIQUE,0,NON,0,NON,0,PANNEAU SANDWICH,5
BA_M_P3_TN_IND_TOL,OSSATURE METALLIQUE,0,NON,0,NON,0,PANNEAU SANDWICH,5
BA_M_P4_TN_PS,OSSATURE METALLIQUE,0,IR,0,NON,0,PANNEAU SANDWICH,6
BA_M_P5_TN_PS,OSSATURE METALLIQUE,0,IR,0,NON,0,PANNEAU SANDWICH,10
BA_M_P6_TN_PS,OSSATURE METALLIQUE,0,IR,0,NON,0,PANNEAU SANDWICH,12
BA_M_P7_TN_PS,OSSATURE METALLIQUE,0,IR,0,NON,0,PANNEAU SANDWICH,16
BGH_M_P2_TN_HAB_BE_BE,OSSATURE BETON,0,NON,0,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
BGH_M_P3_TN_HAB_BE_BE,OSSATURE BETON,0,ITI_LM,5,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
BGH_M_P4_TN_HAB_BE_BE,OSSATURE BETON,0,ITI_LM,5,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
BGH_M_P4_TN_TER_MR,OSSATURE BETON,0,IR,0,NON,0,MUR RIDEAU VERRE,10
BGH_M_P5_TN_HAB_BE_BE,OSSATURE BETON,0,ITI_LM,10,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
BGH_M_P5_TN_TER_MR,OSSATURE BETON,0,IR,0,NON,0,MUR RIDEAU VERRE,10
BGH_M_P6_TN_HAB_MR,OSSATURE BETON,0,IR,0,NON,0,MUR RIDEAU VERRE,10
BGH_M_P6_TN_TER_MR,OSSATURE BETON,0,IR,0,NON,0,MUR RIDEAU VERRE,10
BGH_M_P7_TN_HAB_MR,OSSATURE BETON,0,IR,0,NON,0,MUR RIDEAU VERRE,10
BGH_M_P7_TN_TER_MR,OSSATURE BETON,0,IR,0,NON,0,MUR RIDEAU VERRE,10
HAB_M_P1_TBo_pi,OSSATURE BOIS,0,NON,0,NON,0,PIERRE,25
HAB_M_P1_TBo_sp,OSSATURE BOIS,0,NON,0,NON,0,PIERRE BOIS,20
HAB_M_P1_TBo-bo,OSSATURE BOIS,0,NON,0,BOIS,10,BARDAGE BOIS,2
HAB_M_P1_TBr_Tcr,TERRE CUITE,50,NON,0,ENDUIT,2,ENDUIT,2
HAB_M_P1_TBr_Tcu,TERRE CRUE,50,NON,0,ENDUIT,4,ENDUIT,2
HAB_M_P2_TN_BB,BETON BANCHE,40,NON,0,ENDUIT,1,ENDUIT,2
HAB_M_P2_TN_BEPP,OSSATURE BETON,25,NON,0,CONTRE CLOISON,1.3,PANNEAU PREFA BETON,15
HAB_M_P2_TN_PA,PARPAING,20,NON,0,NON,0,ENDUIT,2
HAB_M_P3_TN_BEPP,BETON BANCHE,40,ITE_LM,6,CONTRE CLOISON,1.3,PANNEAU PREFA BETON,15
HAB_M_P4_TN_BC,BRIQUE CREUSE,25,NON,0,NON,0,ENDUIT,2
HAB_M_P4_TN_PREF,OSSATURE BETON,25,ITE_LM,10,CONTRE CLOISON,1.3,PANNEAU PREFA BETON,15
HAB_M_P5_TN_BB,BETON BANCHE,50,ITI_LM,6,CONTRE CLOISON,1.3,ENDUIT,2
HAB_M_P5_TN_BC,BRIQUE CREUSE,25,ITI_LM,5,CONTRE CLOISON,1.3,ENDUIT,2
HAB_M_P5_TN_PA,PARPAING,20,ITI_LM,6,CONTRE CLOISON,1.3,ENDUIT,2
HAB_M_P6_TN_BB,BETON BANCHE,30,ITI_LM,10,CONTRE CLOISON,1.3,ENDUIT,2
HAB_M_P6_TN_BR,MONOMUR,37,NON,0,ENDUIT,2,ENDUIT,2
HAB_M_P6_TN_PABE,AGGLOMERE DE BETON,30,ITI_LM,10,CONTRE CLOISON,1.3,ENDUIT,2
IMM_M_P1_TBo_br,OSSATURE BOIS,0,NON,0,NON,0,BRIQUE,30
IMM_M_P1_TBo_to,OSSATURE BOIS,0,NON,0,NON,0,TORCHIS,20
IMM_M_P1_TBr_br,BRIQUE PLEINE,60,NON,0,ENDUIT,2,ENDUIT,2
IMM_M_P1_TPI,PIERRE,90,NON,0,NON,0,NON,0
IMM_M_P1_TPi_Gra,GRANITE,80,NON,0,ENDUIT,4,NON,0
IMM_M_P1_TPi_Gre,GRES,80,NON,0,NON,0,NON,0
IMM_M_P1_TPi_Meu,MEULIERE,80,NON,0,ENDUIT,4,NON,0
IMM_M_P1_TPi_Sch,SCHISTE,80,NON,0,ENDUIT,4,NON,0
IMM_M_P1_TPi_Vol,VOLCANIQUE,80,NON,0,ENDUIT,4,NON,0
IMM_M_P2_TBR,BRIQUE CREUSE,25,NON,0,ENDUIT,1,BRIQUE,6
IMM_M_P2_TN_BB,BETON BANCHE,20,NON,0,ENDUIT,1,ENDUIT,2
IMM_M_P2_TN_BC,BRIQUE CREUSE,20,NON,0,PLAQUE DE PLATRE,1.3,ENDUIT,2
IMM_M_P2_TN_BEPP,OSSATURE BETON,0,NON,0,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
IMM_M_P2_TN_COM_BE,OSSATURE BETON,0,NON,0,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
IMM_M_P2_TN_PA,PARPAING,20,NON,0,CONTRE CLOISON,1.3,ENDUIT,2
IMM_M_P2_TN_REL_BA,BETON ARME,20,NON,0,ENDUIT,1,ENDUIT,2
IMM_M_P2_TN_SCO_PRE,OSSATURE BETON,0,NON,0,NON,0,PANNEAU PREFA BETON,15
IMM_M_P3_TBR,BRIQUE CREUSE,25,ITI_AIR,1,CONTRE CLOISON,1.3,PLAQUETTE BRIQUE,2
IMM_M_P3_TN_BEPP,BETON BANCHE,20,ITE_LM,6,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
IMM_M_P3_TN_COM_BE,OSSATURE BETON,0,NON,0,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
IMM_M_P3_TN_PA,PARPAING,20,ITI_AIR,1,CONTRE CLOISON,1.3,ENDUIT,2
IMM_M_P3_TN_REL_BA,BETON ARME,25,NON,0,ENDUIT,1,ENDUIT,2
IMM_M_P3_TN_SCO_PRE,OSSATURE BETON,0,NON,0,NON,0,PANNEAU PREFA BETON,15
IMM_M_P3_TPI,PARPAING,25,NON,0,CONTRE CLOISON,1.3,PIERRE,20
IMM_M_P4_TBR,BRIQUE CREUSE,25,ITI_AIR,1,CONTRE CLOISON,1.3,PLAQUETTE BRIQUE,2
IMM_M_P4_TN_BB_isol,BETON BANCHE,40,ITE_LM,6,CONTRE CLOISON,1.3,ENDUIT,2
IMM_M_P3_TN_BB,BETON BANCHE,40,ITI_AIR,1,CONTRE CLOISON,1.3,ENDUIT,2
IMM_M_P4_TN_BB,BETON BANCHE,40,ITI_AIR,1,CONTRE CLOISON,1.3,ENDUIT,2
IMM_M_P4_TN_BC,BRIQUE CREUSE,25,ITI_AIR,1,CONTRE CLOISON,1.3,ENDUIT,2
IMM_M_P4_TN_PREF,OSSATURE BETON,0,ITE_LM,6,PLAQUE DE PLATRE,1.3,PANNEAU PREFA BETON,15
IMM_M_P4_TN_REL_BA,BETON ARME,30,NON,0,ENDUIT,1,ENDUIT,2
IMM_M_P4_TN_SCO_PRE,OSSATURE BETON,0,IR,0,NON,0,PANNEAU SANDWICH,6
IMM_M_P4_TPI,PARPAING,20,ITI_LM,5,PLAQUE DE PLATRE,1.3,PIERRE,15
IMM_M_P5_TN_BB,BETON BANCHE,20,ITI_LM,6,PLAQUE DE PLATRE,1.3,ENDUIT,2
IMM_M_P5_TN_REL_VB,VOILE BETON,50,NON,0,NON,0,ENDUIT,2
IMM_M_P5_TN_SCO_PRE,OSSATURE BETON,0,IR,0,NON,0,PANNEAU SANDWICH,10
IMM_M_P6_TN_BB,BETON BANCHE,20,ITI_LM,10,PLAQUE DE PLATRE,1.3,ENDUIT,2
IMM_M_P6_TN_REL_VB,VOILE BETON,50,NON,0,NON,0,ENDUIT,2
IMM_M_P6_TN_TER_MR,OSSATURE METALLIQUE,0,IR,0,NON,0,MUR RIDEAU VERRE,10
IMM_M_P7_TN_REL_VB,VOILE BETON,50,ITE_LM,16,PLAQUE DE PLATRE,1.3,ENDUIT,2
IMM_M_P7_TN_TER_BE,BETON,20,ITE_LM,16,PLAQUE DE PLATRE,1.3,BARDAGE METAL,2
IMM_M_P7_TN_TER_MR,OSSATURE METALLIQUE,0,IR,0,NON,0,MUR RIDEAU VERRE,10
IMM_M_P7_TN_TER_PAR,PARPAING,20,ITI_LM,16,PLAQUE DE PLATRE,1.3,ENDUIT,2
LNC_M_P2_TN_BC,BRIQUE CREUSE,25,NON,0,NON,0,ENDUIT,2
LNC_M_P3_TN_BC,BRIQUE CREUSE,25,NON,0,NON,0,ENDUIT,2
LNC_M_P5_TN_BC,BRIQUE CREUSE,25,NON,0,NON,0,ENDUIT,2
PAV_M_P1_TBo_br,OSSATURE BOIS,0,NON,0,NON,0,BRIQUE,30
PAV_M_P1_TBo_pi,OSSATURE BOIS,0,NON,0,NON,0,PIERRE,50
PAV_M_P1_TBo_sp,OSSATURE BOIS,0,NON,0,NON,0,PIERRE,40
PAV_M_P1_TBo_to,OSSATURE BOIS,0,NON,0,NON,0,TORCHIS,40
PAV_M_P1_TBo-bo,BOIS,50,IR,0,NON,0,NON,0
PAV_M_P1_TBr_br,BRIQUE PLEINE,60,NON,0,ENDUIT,2,ENDUIT,2
PAV_M_P1_TBr_Tcr,TERRE CUITE,50,NON,0,ENDUIT,2,ENDUIT,2
PAV_M_P1_TBr_Tcu,TERRE CRUE,50,NON,0,ENDUIT,4,ENDUIT,2
PAV_M_P1_TPB_ba,BAUGE,80,NON,0,ENDUIT,2,ENDUIT,2
PAV_M_P1_TPB_pi,PISE,60,NON,0,NON,0,NON,0
PAV_M_P1_TPI,PIERRE,100,NON,0,NON,0,NON,0
PAV_M_P1_TPi_Arg,ARGILE,50,NON,0,ENDUIT,4,NON,0
PAV_M_P1_TPi_Cal,CALCAIRE,80,NON,0,NON,0,ENDUIT,2
PAV_M_P1_TPi_Gal,GALET,60,NON,0,NON,0,NON,0
PAV_M_P1_TPi_Gne,GNEISS,60,NON,0,ENDUIT,4,NON,0
PAV_M_P1_TPi_Gra,GRANITE,60,NON,0,NON,0,NON,0
PAV_M_P1_TPi_Gre,GRES,70,NON,0,NON,0,NON,0
PAV_M_P1_TPi_Meu,MEULIERE,35,NON,0,ENDUIT,4,NON,0
PAV_M_P1_TPi_Sch,SCHISTE,40,NON,0,NON,0,NON,0
PAV_M_P1_TPi_Vol,VOLCANIQUE,80,NON,0,NON,0,NON,0
PAV_M_P2_TBR,BRIQUE CREUSE,20,NON,0,ENDUIT,1,BRIQUE,6
PAV_M_P2_TN_BC,BRIQUE CREUSE,20,NON,0,ENDUIT,1,ENDUIT,2
PAV_M_P2_TN_PA,PARPAING,20,NON,0,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P2_TPI,PARPAING,20,NON,0,PLAQUE DE PLATRE,1.3,PIERRE,20
PAV_M_P3_TBR,BRIQUE CREUSE,25,NON,0,ENDUIT,1,BRIQUE,6
PAV_M_P3_TN_BC,BRIQUE CREUSE,20,ITI_LM,6,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P3_TN_PA,PARPAING,20,ITI_LM,6,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P4_TBR,BRIQUE CREUSE,20,ITI_LM,6,PLAQUE DE PLATRE,1.3,PLAQUETTE BRIQUE,2
PAV_M_P4_TN_BC,BRIQUE CREUSE,20,ITI_LM,5,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P4_TN_PA,PARPAING,20,ITI_LM,5,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P5_TN_BC,BRIQUE CREUSE,20,ITI_LM,6,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P5_TN_PA,PARPAING,20,ITI_LM,6,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P6_TN_BR,MONOMUR,37,NON,0,ENDUIT,2,ENDUIT,2
PAV_M_P6_TN_PA,PARPAING,20,ITI_LM,10,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P7_TN_BR,BRIQUE CREUSE,20,ITI_LM,16,PLAQUE DE PLATRE,1.3,ENDUIT,1
PAV_M_P7_TN_MON,MONOMUR,40,ITI_LM,10,PLAQUE DE PLATRE,1.3,ENDUIT,2
PAV_M_P7_TN_PAR,PARPAING,20,ITE_LM,16,PLAQUE DE PLATRE,1.3,ENDUIT,2
SER_M_P1_TN,OSSATURE METALLIQUE,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_M_P2_TN,OSSATURE METALLIQUE,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_M_P3_TN,OSSATURE METALLIQUE,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_M_P4_TN,OSSATURE METALLIQUE,0,NON,0,NON,0,SIMPLE VITRAGE,2
SER_M_P5_TN,OSSATURE METALLIQUE,0,NON,0,NON,0,DOUBLE VITRAGE,3
SER_M_P6_TN,OSSATURE METALLIQUE,0,NON,0,NON,0,DOUBLE VITRAGE,3
SER_M_P7_TN,OSSATURE METALLIQUE,0,NON,0,NON,0,DOUBLE VITRAGE,3
